,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,record_count,multiple_records
2009-01-04,P07266,Adyar,789,117,1.0,1.0,2,abnormal,no,1971-01-14,commercial,allpub,paved,a,4.5,4.1,2.4,3.37,315825,113373,8098070,3,1
2009-01-04,P07264,Velachery,1627,103,2.0,1.0,4,normal sale,yes,2004-01-06,others,elo,no access,rl,2.7,3.4,3.9,3.38,344834,114945,10449500,3,1
2009-01-05,P07260,Anna Nagar,2000,124,2.0,1.0,5,abnormal,no,1986-01-11,commercial,nosewa,gravel,rh,4.1,2.1,3.9,3.52,597426,128020,21336660,3,1
2009-01-05,P07263,KK Nagar,1485,77,2.0,1.0,4,family,no,1998-01-08,house,allpub,paved,rh,2.3,3.5,3.2,3.02,344199,98343,8195220,3,1
2009-01-05,P07261,KK Nagar,1747,82,2.0,1.0,4,partial,yes,1992-01-10,others,nosewa,paved,rl,2.2,4.9,3.1,3.37,377464,161770,10784680,3,1
2009-01-06,P07250,Velachery,1634,50,2.0,1.0,4,partial,no,1957-01-19,house,elo,gravel,a,4.5,3.0,4.2,3.74,244564,45051,6435890,10,1
2009-01-06,P07254,Chrompet,1283,126,2.0,1.0,4,normal sale,no,1973-01-15,commercial,nosewa,no access,rh,3.3,2.2,2.4,2.59,375084,87520,12502800,10,1
2009-01-06,P07256,KK Nagar,2017,198,3.0,2.0,5,abnormal,yes,1982-01-13,commercial,allpub,gravel,rl,4.9,2.6,5.0,4.25,629739,437319,17492740,10,1
2009-01-06,P07252,Chrompet,1120,5,1.0,1.0,3,normal sale,yes,2002-01-08,others,nosewr ,paved,rh,3.6,3.2,4.8,3.8,297440,99147,9914650,10,1
2009-01-06,P07257,KK Nagar,2369,130,4.0,2.0,6,adjland,yes,1999-01-09,house,nosewa,gravel,rl,3.7,2.9,2.4,2.94,622769,304759,13250400,10,1
2009-01-06,P07258,KK Nagar,1666,175,2.0,1.0,4,adjland,no,1982-01-13,others,nosewr ,paved,rl,2.7,2.9,4.3,3.4,353677,171786,10105060,10,1
2009-01-06,P07251,Chrompet,1287,101,2.0,1.0,4,normal sale,no,1996-01-10,house,nosewr ,gravel,rl,4.9,2.1,3.3,3.3,328890,79731,9966350,10,1
2009-01-06,P07255,Anna Nagar,1922,160,2.0,1.0,5,normal sale,no,1985-01-12,commercial,elo,gravel,rl,2.9,2.5,3.6,3.08,657450,106040,21208080,10,1
2009-01-06,P07259,KK Nagar,2062,59,3.0,2.0,5,normal sale,yes,1981-01-13,commercial,nosewa,paved,rl,3.5,2.0,4.8,3.57,610119,288112,16947760,10,1
2009-01-06,P07253,Chrompet,889,133,1.0,1.0,3,family,no,1994-01-10,commercial,nosewa,gravel,rm,4.2,4.7,2.8,3.98,400826,133609,12146250,10,1
2009-01-07,P07248,Chrompet,1072,77,1.0,1.0,3,family,no,1992-01-12,others,nosewr ,no access,rh,3.6,3.9,2.8,3.48,202176,108864,7775990,3,1
2009-01-07,P07247,Velachery,1928,2,3.0,2.0,5,abnormal,no,1985-01-13,commercial,elo,gravel,rh,4.9,4.5,5.0,4.75,523049,332850,15849980,3,1
2009-01-07,P07249,KK Nagar,1956,103,3.0,2.0,5,normal sale,no,1980-01-15,commercial,allpub,gravel,rm,4.4,3.0,3.3,3.54,516993,150095,16677180,3,1
2009-01-08,P07245,Chrompet,858,32,1.0,1.0,3,partial,yes,1985-01-14,house,nosewa,no access,rl,2.9,3.0,3.9,3.24,226302,30174,7543400,2,1
2009-01-08,P07243,Velachery,1644,70,2.0,1.0,4,normal sale,yes,1979-01-16,house,allpub,no access,rm,2.5,3.8,2.7,3.15,405542,202771,10138550,2,1
2009-01-09,P07241,Anna Nagar,1689,48,1.0,1.0,4,normal sale,no,1981-01-16,others,allpub,paved,rm,3.2,2.5,3.1,2.985,349824,148003,13454780,2,1
2009-01-09,P07242,KK Nagar,2428,48,4.0,2.0,6,normal sale,no,2003-01-11,commercial,allpub,gravel,rh,3.2,2.1,4.9,3.55,783633,223895,18657920,2,1
2009-01-10,P07239,KK Nagar,1653,27,2.0,1.0,4,normal sale,yes,2004-01-12,others,nosewr ,paved,rl,4.7,3.5,4.1,4.1,460133,190787,11222760,1,0
2009-01-11,P07319,T Nagar,1585,199,1.0,1.0,4,abnormal,no,1972-12-30,commercial,elo,paved,rl,2.5,3.6,2.1,2.595,684691,210674,17556170,1,0
2009-01-12,P07235,T Nagar,1917,4,2.0,1.0,5,abnormal,no,1977-01-20,others,allpub,no access,rh,2.5,3.4,2.4,2.68,447179,153319,12776550,4,1
2009-01-12,P07233,Adyar,690,115,1.0,1.0,2,adjland,yes,2000-01-15,others,allpub,paved,c,2.5,3.1,4.3,3.52,232073,22459,7486235,4,1
2009-01-12,P07234,Chrompet,995,41,1.0,1.0,3,family,yes,2003-01-14,commercial,nosewr ,paved,rl,2.1,2.5,2.1,2.26,388413,64736,12947100,4,1
2009-01-12,P07236,KK Nagar,1536,150,2.0,1.0,4,partial,no,1994-01-16,house,nosewr ,paved,rl,3.8,4.7,4.6,4.39,374964,87201,8720100,4,1
2009-01-13,P07231,Velachery,1754,166,2.0,1.0,4,normal sale,yes,1991-01-18,commercial,nosewa,gravel,rm,2.1,4.5,2.3,3.24,607779,236359,16882760,1,0
2009-01-14,P07228,Velachery,1568,109,2.0,1.0,4,family,no,1979-01-22,others,nosewa,no access,a,3.4,2.3,4.1,3.12,235388,114513,6361850,2,1
2009-01-14,P07229,Chrompet,972,102,1.0,1.0,3,adjland,yes,2003-01-16,house,elo,no access,rm,4.7,3.2,3.7,3.8,275277,28477,9492300,2,1
2009-01-15,P07225,Chrompet,1064,68,1.0,1.0,3,abnormal,yes,1973-01-24,commercial,allpub,no access,rm,3.5,3.1,2.4,3.01,422925,39649,13216400,2,1
2009-01-15,P07226,T Nagar,1616,44,1.0,1.0,4,adjland,yes,1983-01-22,others,elo,gravel,rl,2.6,4.3,3.9,3.61,441406,99672,14238900,2,1
2009-01-16,P07224,KK Nagar,2256,39,4.0,2.0,6,partial,no,1985-01-22,house,nosewr ,gravel,rh,4.5,2.2,2.4,2.97,463684,231842,10538280,2,1
2009-01-16,P07222,KK Nagar,2297,51,4.0,2.0,6,family,no,1992-01-21,others,allpub,paved,rh,3.8,3.4,2.9,3.32,370230,231394,11569680,2,1
2009-01-17,P07221,KK Nagar,2322,40,4.0,2.0,6,family,no,1999-01-20,commercial,allpub,gravel,rh,4.7,2.8,2.2,3.13,640454,266856,17790400,1,0
2009-01-18,P07218,Anna Nagar,1687,72,1.0,1.0,4,family,yes,1978-01-26,house,allpub,no access,rh,5.0,4.7,2.7,4.005,376450,68445,11407570,3,1
2009-01-18,P07217,Chrompet,704,43,1.0,1.0,2,abnormal,no,1994-01-22,house,allpub,gravel,rm,2.9,4.3,2.1,3.22,213446,57466,8209450,3,1
2009-01-18,P07216,Adyar,1030,104,1.0,1.0,3,normal sale,yes,1984-01-25,commercial,nosewr ,paved,rl,3.3,4.3,4.3,4.0,498272,41523,13840875,3,1
2009-01-19,P07212,Adyar,1289,70,2.0,2.0,4,normal sale,no,1969-01-29,commercial,allpub,gravel,rh,3.2,3.9,2.3,2.89,512208,87807,14634500,1,0
2009-01-20,P07211,T Nagar,1989,46,2.0,1.0,5,family,no,1972-01-30,house,elo,paved,rl,4.3,2.8,5.0,4.24,456406,190169,12677940,2,1
2009-01-20,P07210,Velachery,1907,141,3.0,2.0,5,partial,no,1967-01-31,commercial,nosewr ,paved,c,3.0,4.0,5.0,4.05,474682,230560,13562340,2,1
2009-01-21,P07208,Anna Nagar,1995,35,2.0,1.0,5,normal sale,no,2002-01-23,house,elo,gravel,rm,5.0,3.7,4.4,4.435,363475,203546,14538990,2,1
2009-01-21,P07209,Anna Nagar,1908,164,2.0,1.0,5,adjland,no,1989-01-26,house,allpub,no access,rh,2.0,3.5,4.7,3.455,339193,181711,12114050,2,1
2009-01-22,P07207,KK Nagar,1865,103,3.0,2.0,5,family,no,1991-01-27,house,allpub,gravel,rh,4.7,4.0,4.1,4.25,414093,128172,9859360,2,1
2009-01-22,P07205,Anna Nagar,1853,51,2.0,1.0,5,family,no,1969-02-01,others,nosewa,gravel,rh,4.4,3.1,3.3,3.635,351719,130266,13026640,2,1
2009-01-23,P07200,Chrompet,1197,29,1.0,1.0,3,family,no,1981-01-30,house,elo,no access,rm,2.0,2.9,3.2,2.72,260902,109411,8416200,1,0
2009-01-24,P07196,Chrompet,897,178,1.0,1.0,3,partial,no,1989-01-29,others,allpub,no access,rh,4.4,4.2,5.0,4.5,189618,98320,7022890,4,1
2009-01-24,P07194,Adyar,904,52,1.0,1.0,3,adjland,no,1969-02-03,commercial,elo,no access,rm,3.8,3.2,2.6,3.08,348042,23203,11601400,4,1
2009-01-24,P07197,KK Nagar,1653,132,2.0,1.0,4,normal sale,yes,1989-01-29,others,nosewa,paved,rl,3.5,3.5,4.4,3.86,528909,237469,10794060,4,1
2009-01-24,P07198,KK Nagar,1693,99,2.0,1.0,4,family,yes,1989-01-29,house,nosewa,paved,rl,3.1,2.1,4.9,3.52,481046,180392,10021800,4,1
2009-01-25,P07189,Chrompet,1102,89,1.0,1.0,3,normal sale,yes,1980-02-02,commercial,nosewa,gravel,rm,2.7,3.6,2.0,2.85,449839,246686,14510950,2,1
2009-01-25,P07192,KK Nagar,2101,76,3.0,2.0,5,adjland,yes,1994-01-29,house,allpub,paved,rm,3.6,3.0,4.7,3.86,458356,216446,12732100,2,1
2009-01-26,P07185,Anna Nagar,1855,82,2.0,1.0,5,abnormal,yes,1999-01-29,commercial,nosewr ,paved,rh,3.3,2.1,4.8,3.6,839848,188966,20996200,3,1
2009-01-26,P07183,Chrompet,1167,110,1.0,1.0,3,normal sale,yes,1972-02-05,others,allpub,paved,rh,2.6,2.1,2.7,2.43,296160,105089,9553540,3,1
2009-01-26,P07184,Chrompet,851,0,1.0,1.0,3,abnormal,yes,2004-01-28,others,elo,gravel,rm,2.7,3.2,2.4,2.81,305989,173394,10199620,3,1
2009-01-27,P07180,Chrompet,919,34,1.0,1.0,3,adjland,no,1997-01-30,commercial,allpub,paved,rh,2.9,4.5,3.7,3.78,317425,102029,11336600,4,1
2009-01-27,P07182,KK Nagar,2497,197,4.0,2.0,6,normal sale,yes,1987-02-02,others,allpub,gravel,rl,2.0,2.4,4.7,3.2,445401,301723,14367780,4,1
2009-01-27,P07181,KK Nagar,2312,88,4.0,2.0,6,normal sale,no,1999-01-30,house,nosewr ,gravel,rm,2.6,3.8,4.6,3.76,565641,100558,12569800,4,1
2009-01-27,P07178,Adyar,805,63,1.0,1.0,3,adjland,yes,1982-02-03,others,allpub,gravel,i,2.6,3.5,4.1,3.53,321639,35738,8934405,4,1
2009-01-28,P07176,Velachery,1581,64,2.0,1.0,4,abnormal,no,1975-02-06,others,nosewa,paved,a,3.4,4.0,3.2,3.61,242938,100033,7145230,3,1
2009-01-28,P07175,Velachery,1900,180,3.0,2.0,5,normal sale,no,1988-02-03,house,elo,no access,rm,2.4,4.8,2.9,3.63,387883,69620,9945720,3,1
2009-01-28,P07177,Chrompet,1085,92,1.0,1.0,3,abnormal,no,1971-02-07,commercial,nosewa,paved,rm,2.9,4.2,2.5,3.3,356510,50930,12732500,3,1
2009-01-29,P07174,Adyar,1066,197,1.0,1.0,3,adjland,no,1971-02-08,commercial,allpub,paved,i,4.4,2.3,3.7,3.63,434292,120637,12063670,1,0
2009-01-30,P07171,KK Nagar,1927,36,3.0,2.0,5,abnormal,yes,2001-02-01,commercial,nosewa,gravel,rm,2.8,4.2,3.8,3.62,688403,229468,17651360,2,1
2009-01-30,P07170,Adyar,1001,58,1.0,1.0,3,normal sale,yes,1972-02-09,others,allpub,gravel,rl,3.8,3.5,2.7,3.19,410816,126405,10533755,2,1
2009-01-31,P07169,KK Nagar,1401,100,2.0,1.0,4,partial,no,1989-02-05,house,nosewa,paved,rh,2.2,4.7,3.0,3.27,370510,148204,7410200,1,0
2009-02-01,P07165,Adyar,1128,28,1.0,1.0,3,adjland,yes,1993-02-05,commercial,allpub,gravel,rh,4.9,2.3,3.5,3.68,588652,30187,15093640,1,0
2009-02-02,P07164,Anna Nagar,1664,138,1.0,1.0,4,normal sale,no,1980-02-10,commercial,allpub,gravel,rl,2.8,2.4,3.9,3.14,708460,363804,19147580,1,0
2009-02-03,P07163,T Nagar,1621,101,1.0,1.0,4,abnormal,no,1964-02-15,others,allpub,paved,rm,3.4,3.4,3.0,3.22,412785,167694,12899530,1,0
2009-02-04,P07161,KK Nagar,2263,87,4.0,2.0,6,partial,no,1996-02-08,house,allpub,paved,rl,3.2,4.4,3.2,3.56,408874,110507,11050660,1,0
2009-02-05,P07159,Chrompet,777,27,1.0,1.0,2,adjland,yes,1987-02-11,house,allpub,gravel,rh,3.9,4.5,4.3,4.26,274250,119984,8570300,1,0
2009-02-06,P07155,T Nagar,1773,166,1.0,1.0,4,adjland,yes,1974-02-15,commercial,nosewa,no access,rh,3.3,2.2,4.1,3.385,506149,292009,19467250,1,0
2009-02-07,P07150,Chrompet,1078,54,1.0,1.0,3,adjland,yes,1972-02-17,house,nosewa,paved,rl,3.2,2.8,4.9,3.55,243057,140225,9348350,3,1
2009-02-07,P07152,KK Nagar,2411,143,4.0,2.0,6,normal sale,no,2003-02-09,others,nosewa,gravel,rh,2.1,2.0,4.2,2.91,513342,200329,12520540,3,1
2009-02-07,P07147,Velachery,1599,65,2.0,1.0,4,adjland,yes,1978-02-15,others,nosewa,no access,a,3.6,4.4,3.2,3.84,295614,55927,7989570,3,1
2009-02-08,P07145,KK Nagar,1505,70,2.0,1.0,4,adjland,yes,1993-02-12,commercial,nosewa,gravel,rl,3.6,2.8,3.6,3.36,708159,368833,14753320,2,1
2009-02-08,P07144,Chrompet,771,3,1.0,1.0,2,normal sale,yes,2001-02-10,house,elo,paved,rh,3.6,2.5,2.0,2.68,196113,37714,7542800,2,1
2009-02-09,P07139,Velachery,1749,31,2.0,1.0,4,abnormal,yes,1966-02-20,commercial,allpub,gravel,rh,2.6,2.5,3.5,2.83,569379,323161,15388610,5,1
2009-02-09,P07141,Chrompet,785,192,1.0,1.0,2,partial,yes,2000-02-12,others,nosewr ,gravel,rh,2.3,4.3,2.6,3.19,237586,144248,8485200,5,1
2009-02-09,P07143,KK Nagar,2039,158,3.0,2.0,5,normal sale,no,1998-02-12,others,nosewr ,paved,rh,4.4,2.8,4.8,4.08,412482,206241,10854800,5,1
2009-02-09,P07142,Chrompet,1192,23,1.0,1.0,3,normal sale,no,1978-02-17,others,elo,no access,rh,2.5,3.7,5.0,3.73,248226,136124,8007290,5,1
2009-02-09,P07140,Adyar,691,182,1.0,1.0,2,abnormal,no,1983-02-16,house,elo,no access,i,3.0,3.4,4.6,3.88,158899,5126,5125790,5,1
2009-02-10,P07138,KK Nagar,1989,185,3.0,2.0,5,adjland,yes,1989-02-15,house,nosewa,paved,rm,2.7,3.3,2.7,2.88,407510,191770,11985600,2,1
2009-02-10,P07137,T Nagar,1512,163,1.0,1.0,4,abnormal,yes,1972-02-20,house,allpub,no access,rl,3.4,2.3,3.8,3.305,295274,204420,11356690,2,1
2009-02-11,P07133,Velachery,1649,170,2.0,1.0,4,adjland,yes,1960-02-24,house,elo,paved,c,4.6,2.6,2.4,3.04,309942,97877,8156380,4,1
2009-02-11,P07134,Adyar,935,170,1.0,1.0,3,family,no,1979-02-19,commercial,nosewr ,no access,rm,2.2,5.0,2.4,2.86,420446,81753,11679050,4,1
2009-02-11,P07135,Chrompet,816,6,1.0,1.0,3,normal sale,yes,1974-02-20,house,nosewa,no access,rl,3.2,2.3,2.0,2.48,191751,44250,7375050,4,1
2009-02-11,P07132,Velachery,1911,28,3.0,2.0,5,normal sale,no,2002-02-13,house,nosewa,paved,a,2.5,4.8,2.0,3.39,241545,56360,8051490,4,1
2009-02-12,P07129,Adyar,1061,75,1.0,1.0,3,adjland,no,1978-02-20,house,nosewa,gravel,rl,2.8,4.0,3.8,3.54,338795,141164,9410965,2,1
2009-02-12,P07131,KK Nagar,2058,48,4.0,2.0,6,normal sale,no,2004-02-14,commercial,nosewr ,gravel,rl,3.0,2.4,4.5,3.42,717230,170769,17076900,2,1
2009-02-13,P07127,T Nagar,1810,128,2.0,1.0,5,normal sale,no,2002-02-15,commercial,nosewa,no access,rm,4.7,4.6,4.5,4.585,715452,347505,20441490,1,0
2009-02-14,P07125,Anna Nagar,1530,111,1.0,1.0,4,normal sale,yes,1989-02-19,house,nosewr ,gravel,rm,2.9,2.1,2.6,2.58,343413,145290,13208200,1,0
2009-02-15,P07124,Chrompet,780,41,1.0,1.0,2,adjland,no,1982-02-22,others,nosewa,no access,rm,2.5,2.1,4.1,2.82,222866,69165,7685050,1,0
2009-02-16,P07122,T Nagar,1842,33,2.0,1.0,5,normal sale,no,1986-02-22,house,nosewa,gravel,rl,2.7,4.8,3.6,3.63,365124,208643,13040160,4,1
2009-02-16,P07119,Velachery,1722,112,2.0,1.0,4,abnormal,yes,1992-02-21,others,nosewr ,no access,rl,3.7,4.7,2.1,3.67,332597,171663,10728940,4,1
2009-02-16,P07121,Chrompet,1054,143,1.0,1.0,3,partial,no,1972-02-26,others,nosewr ,gravel,rm,2.2,3.1,3.3,2.89,245693,141746,9449730,4,1
2009-02-16,P07120,Chrompet,802,107,1.0,1.0,3,adjland,yes,2000-02-19,commercial,nosewr ,gravel,rm,2.1,2.5,2.4,2.35,415077,207538,12971150,4,1
2009-02-17,P07117,Chrompet,1170,126,1.0,1.0,3,abnormal,yes,1994-02-21,others,nosewa,gravel,rh,3.5,2.4,3.0,2.91,317755,30750,10250150,2,1
2009-02-17,P07118,KK Nagar,2259,130,4.0,2.0,6,partial,no,1993-02-21,others,nosewr ,paved,rl,4.4,4.5,3.8,4.19,474972,225612,11874300,2,1
2009-02-18,P07116,KK Nagar,2335,142,4.0,2.0,6,abnormal,yes,1993-02-22,commercial,nosewr ,gravel,rh,3.3,3.9,2.5,3.16,750333,356408,18758320,1,0
2009-02-19,P07113,Anna Nagar,1899,102,2.0,1.0,5,partial,yes,1968-03-01,others,elo,no access,rh,3.3,4.2,4.9,4.165,414628,155486,12957140,1,0
2009-02-20,P07111,KK Nagar,2239,172,4.0,2.0,6,normal sale,no,1990-02-25,house,nosewr ,gravel,rl,3.9,4.3,2.6,3.5,474107,185017,11563580,3,1
2009-02-20,P07112,KK Nagar,1759,107,2.0,1.0,4,family,yes,1999-02-23,others,allpub,gravel,rm,3.9,4.2,4.1,4.07,376055,175493,12535180,3,1
2009-02-20,P07110,Adyar,1152,75,1.0,1.0,3,abnormal,no,1997-02-23,others,nosewa,no access,rm,2.1,3.2,3.6,3.07,295898,69043,9863280,3,1
2009-02-21,P07109,KK Nagar,2145,70,3.0,2.0,5,adjland,no,1987-02-27,commercial,nosewa,gravel,rl,2.3,3.7,4.5,3.6,607510,433936,17357440,1,0
2009-02-22,P07107,Velachery,1725,177,2.0,1.0,4,family,yes,1978-03-02,house,allpub,paved,rh,2.8,3.4,4.4,3.55,361383,68370,9767120,1,0
2009-02-23,P07156,KK Nagar,1997,135,3.0,2.0,5,family,yes,1999-02-09,others,allpub,paved,rm,4.9,4.0,2.4,3.63,488967,205881,12867540,1,0
2009-02-24,P07153,Adyar,657,177,1.0,1.0,2,adjland,no,1994-02-10,house,elo,paved,a,4.6,3.5,3.5,3.83,192544,69118,4937025,1,0
2009-02-25,P07102,Chrompet,834,10,1.0,1.0,3,abnormal,no,1988-03-02,others,nosewa,no access,rl,2.9,2.4,2.0,2.43,192762,114229,7139330,4,1
2009-02-25,P07105,Anna Nagar,1827,134,2.0,1.0,5,adjland,no,1965-03-08,house,elo,gravel,rh,4.7,3.1,4.2,4.1,377713,134027,12184280,4,1
2009-02-25,P07104,Chrompet,1122,77,1.0,1.0,3,normal sale,yes,1973-03-06,others,allpub,no access,rh,5.0,4.7,3.7,4.49,251472,152679,8981140,4,1
2009-02-25,P07101,Adyar,1246,44,2.0,2.0,4,abnormal,yes,1995-03-01,commercial,nosewa,paved,i,2.4,3.0,4.0,3.32,460602,43181,14393810,4,1
2009-02-26,P07100,Anna Nagar,1717,199,1.0,1.0,4,family,yes,1979-03-06,commercial,nosewa,paved,rm,2.7,4.4,4.0,3.645,731893,203304,20330350,4,1
2009-02-26,P07098,Chrompet,946,47,1.0,1.0,3,abnormal,no,2002-02-28,commercial,nosewr ,paved,rl,2.4,2.6,2.3,2.45,349796,163238,11659850,4,1
2009-02-26,P07097,Chrompet,984,51,1.0,1.0,3,partial,no,1970-03-08,others,allpub,gravel,rl,3.6,2.9,2.3,2.93,232587,51686,8614330,4,1
2009-02-26,P07099,Chrompet,705,145,1.0,1.0,2,adjland,yes,2000-02-29,commercial,allpub,gravel,rm,4.4,4.7,2.5,3.95,359947,136531,12411950,4,1
2009-02-27,P07096,T Nagar,1858,36,2.0,1.0,5,normal sale,yes,1974-03-08,commercial,elo,no access,rm,2.0,4.7,4.9,3.98,826242,169486,21185700,1,0
2009-02-28,P07092,T Nagar,1649,169,1.0,1.0,4,adjland,no,1984-03-06,commercial,allpub,gravel,rh,2.1,2.0,4.6,3.2,681808,113635,18939100,4,1
2009-02-28,P07094,Anna Nagar,1780,27,1.0,1.0,4,abnormal,yes,1977-03-08,house,allpub,paved,rm,3.6,2.2,3.9,3.37,520955,178221,13709340,4,1
2009-02-28,P07093,T Nagar,1954,154,2.0,1.0,5,adjland,yes,1985-03-06,house,nosewa,paved,rm,3.5,2.5,2.5,2.8,446558,253050,14885280,4,1
2009-02-28,P07091,T Nagar,1913,113,2.0,1.0,5,partial,yes,1967-03-11,commercial,allpub,paved,rh,3.9,3.6,2.9,3.375,703912,269143,20703290,4,1
2009-03-01,P07089,KK Nagar,2329,2,4.0,2.0,6,partial,yes,2001-03-03,commercial,allpub,gravel,rm,2.1,3.6,4.7,3.59,818342,359272,19959560,2,1
2009-03-01,P07088,Velachery,1951,149,3.0,2.0,5,adjland,no,1966-03-12,house,nosewr ,paved,rl,2.9,3.3,4.7,3.62,307562,184537,10252060,2,1
2009-03-02,P07085,Chrompet,1148,116,1.0,1.0,3,normal sale,no,1986-03-08,house,nosewr ,paved,rl,4.7,3.4,2.9,3.64,278069,43448,8689650,4,1
2009-03-02,P07084,Chrompet,1240,27,2.0,1.0,4,normal sale,yes,1984-03-08,commercial,elo,paved,rh,3.0,3.6,4.1,3.57,448504,126142,14015750,4,1
2009-03-02,P07082,Adyar,833,87,1.0,1.0,3,partial,no,1975-03-11,commercial,allpub,gravel,rl,3.1,4.6,2.2,2.95,338412,112804,11280410,4,1
2009-03-02,P07086,T Nagar,1918,78,2.0,1.0,5,family,yes,1965-03-13,commercial,nosewa,no access,rl,4.1,3.0,4.7,4.095,746911,207475,20747530,4,1
2009-03-03,P07079,Velachery,1727,73,2.0,1.0,4,abnormal,yes,1976-03-11,house,elo,gravel,a,3.3,3.6,2.0,3.05,289436,74426,8269610,2,1
2009-03-03,P07080,Velachery,1628,114,2.0,1.0,4,abnormal,yes,1999-03-06,others,nosewa,paved,rl,2.1,3.3,2.1,2.64,416336,131474,10956200,2,1
2009-03-04,P07078,KK Nagar,1507,76,2.0,1.0,4,normal sale,yes,1985-03-10,house,nosewa,paved,rl,4.4,4.3,3.3,3.93,481104,230930,9622080,4,1
2009-03-04,P07074,Adyar,934,147,1.0,1.0,3,normal sale,yes,2001-03-06,commercial,allpub,gravel,c,4.2,2.1,2.8,3.08,373014,12033,12032720,4,1
2009-03-04,P07075,Adyar,691,77,1.0,1.0,2,normal sale,yes,1982-03-11,commercial,elo,gravel,i,3.1,3.3,3.4,3.29,379506,129831,9987005,4,1
2009-03-04,P07077,KK Nagar,2282,72,4.0,2.0,6,normal sale,no,1982-03-11,house,nosewr ,gravel,rm,5.0,4.2,2.7,3.84,401648,267765,12171140,4,1
2009-03-05,P07069,Adyar,746,36,1.0,1.0,2,adjland,yes,1996-03-08,house,allpub,paved,rh,2.4,2.8,4.1,3.33,304337,118353,8453795,5,1
2009-03-05,P07071,KK Nagar,1376,75,2.0,1.0,4,partial,no,2003-03-07,others,nosewa,gravel,rm,3.3,4.6,2.5,3.37,435769,148558,9903840,5,1
2009-03-05,P07070,KK Nagar,1934,73,3.0,2.0,5,abnormal,yes,1988-03-10,commercial,allpub,paved,rh,4.9,3.5,5.0,4.52,706808,369468,16063820,5,1
2009-03-05,P07072,KK Nagar,2031,74,3.0,2.0,5,adjland,yes,1993-03-09,others,nosewa,paved,rh,3.9,2.1,4.1,3.44,498882,190050,11878140,5,1
2009-03-05,P07073,KK Nagar,2074,17,3.0,2.0,5,partial,no,1980-03-12,commercial,nosewa,gravel,rh,4.2,3.3,2.7,3.33,513050,202111,15546980,5,1
2009-03-06,P07128,KK Nagar,1636,85,2.0,1.0,4,adjland,no,1979-02-21,house,nosewr ,paved,rl,4.6,4.8,3.8,4.34,411770,224602,9358400,1,0
2009-03-07,P07065,Adyar,1110,53,1.0,1.0,3,family,yes,1997-03-10,others,nosewr ,no access,rm,4.0,3.0,3.6,3.6,417627,160626,10708380,4,1
2009-03-07,P07067,Anna Nagar,1976,65,2.0,1.0,5,adjland,no,1978-03-15,commercial,nosewa,paved,rl,4.1,4.8,2.1,3.475,751564,322099,21473270,4,1
2009-03-07,P07066,Chrompet,1163,3,1.0,1.0,3,partial,yes,1978-03-15,others,nosewa,paved,rm,4.8,3.4,2.1,3.43,335090,104716,10471560,4,1
2009-03-07,P07068,KK Nagar,2450,142,4.0,2.0,6,family,no,1983-03-14,house,allpub,gravel,rl,3.7,4.3,2.3,3.32,442798,299188,11967520,4,1
2009-03-08,P07055,Adyar,786,112,1.0,1.0,2,family,yes,1974-03-17,others,nosewr ,gravel,rh,3.9,2.8,3.3,3.38,334520,42887,8577425,6,1
2009-03-08,P07062,KK Nagar,2435,124,4.0,2.0,6,partial,yes,1991-03-13,commercial,nosewr ,gravel,rm,2.6,4.0,4.1,3.62,850347,364434,20246360,6,1
2009-03-08,P07057,Chrompet,1056,94,1.0,1.0,3,family,yes,1999-03-11,house,nosewr ,gravel,rh,3.1,3.1,4.7,3.58,233548,93419,9341900,6,1
2009-03-08,P07061,Anna Nagar,1964,156,2.0,1.0,5,adjland,no,1968-03-18,others,nosewa,paved,rh,4.5,3.9,4.7,4.43,395886,163815,13651240,6,1
2009-03-08,P07058,Chrompet,1122,33,1.0,1.0,3,adjland,no,1985-03-14,house,elo,paved,rh,2.1,3.1,3.5,2.92,200395,48095,8015800,6,1
2009-03-08,P07056,Adyar,860,106,1.0,1.0,3,normal sale,no,1973-03-17,commercial,nosewr ,paved,rh,3.4,2.1,2.7,2.79,378937,10526,10526040,6,1
2009-03-09,P07051,Velachery,1637,157,2.0,1.0,4,family,yes,1971-03-19,commercial,nosewr ,gravel,c,3.7,2.1,4.0,3.07,511497,242288,13460460,3,1
2009-03-09,P07053,Chrompet,1002,39,1.0,1.0,3,abnormal,yes,1970-03-19,commercial,elo,no access,rm,3.9,2.8,3.2,3.25,409842,161453,12419450,3,1
2009-03-09,P07054,KK Nagar,1834,70,3.0,2.0,5,adjland,yes,1983-03-16,house,nosewa,paved,rl,2.9,3.5,3.9,3.48,479280,217854,10892720,3,1
2009-03-10,P07050,KK Nagar,2112,77,3.0,2.0,5,adjland,no,1996-03-13,commercial,nosewr ,gravel,rh,2.8,3.0,2.1,2.58,804310,351886,16756460,2,1
